year,month,prefectures,Infected
2020,12,Nagasaki,11383
2020,12,Nara,48645
2020,12,Niigata,13094
2020,12,Oita,16035
2020,12,Okayama,28349
2020,12,Okinawa,150742
2020,12,Osaka,793844
2020,12,Saga,12166
2020,12,Saitama,343613
2020,12,Shiga,28593
2020,12,Shimane,5406
2020,12,Shizuoka,68809
2020,12,Tochigi,30122
2020,12,Tokushima,5863
2020,12,Tokyo,1534239
2020,12,Tottori,2271
2020,12,Toyama,15206
2020,12,Wakayama,17157
2020,12,Yamagata,8360
2020,12,Yamaguchi,14252
2020,12,Yamanashi,14109
2021,1,Aichi,634147
2021,1,Akita,6270
2021,1,Aomori,19058
2021,1,Chiba,519602
2021,1,Ehime,23770
2021,1,Fukui,13465
2021,1,Fukuoka,388455
2021,1,Fukushima,42610
2021,1,Gifu,104781
2021,1,Gunma,97785
2021,1,Hiroshima,130311
2021,1,Hokkaido,481388
2021,1,Hyogo,414966
2021,1,Ibaraki,113041
2021,1,Ishikawa,40226
2021,1,Iwate,13993
2021,1,Kagawa,15192
2021,1,Kagoshima,41252
2021,1,Kanagawa,986094
2021,1,Kochi,23785
2021,1,Kumamoto,83665
2021,1,Kyoto,201063
2021,1,Mie,53828
2021,1,Miyagi,87993
2021,1,Miyazaki,43684
2021,1,Nagano,56899
2021,1,Nagasaki,34963
2021,1,Nara,79265
2021,1,Niigata,22911
2021,1,Oita,28487
2021,1,Okayama,60805
2021,1,Okinawa,197682
2021,1,Osaka,1155215
2021,1,Saga,22603
2021,1,Saitama,621241
2021,1,Shiga,52801
2021,1,Shimane,7252
2021,1,Shizuoka,114421
2021,1,Tochigi,89704
2021,1,Tokushima,8977
2021,1,Tokyo,2565330
2021,1,Tottori,5276
2021,1,Toyama,23206
2021,1,Wakayama,26479
2021,1,Yamagata,13699
2021,1,Yamaguchi,27103
2021,1,Yamanashi,23934
2021,2,Aichi,702072
2021,2,Akita,7512
2021,2,Aomori,21983
2021,2,Chiba,689898
2021,2,Ehime,28860
2021,2,Fukui,14890
2021,2,Fukuoka,482501
2021,2,Fukushima,51281
2021,2,Gifu,127403
2021,2,Gunma,118822
2021,2,Hiroshima,138299
2021,2,Hokkaido,516489
2021,2,Hyogo,488611
2021,2,Ibaraki,149919
2021,2,Ishikawa,46844
2021,2,Iwate,14838
2021,2,Kagawa,20092
2021,2,Kagoshima,47830
2021,2,Kanagawa,1209166
2021,2,Kochi,24429
2021,2,Kumamoto,95354
2021,2,Kyoto,247644
2021,2,Mie,67092
2021,2,Miyagi,98279
2021,2,Miyazaki,53593
2021,2,Nagano,65603
2021,2,Nagasaki,44144
2021,2,Nara,91235
2021,2,Niigata,27984
2021,2,Oita,35088
2021,2,Okayama,68157
2021,2,Okinawa,222960
2021,2,Osaka,1283533
2021,2,Saga,27987
2021,2,Saitama,774866
2021,2,Shiga,64853
2021,2,Shimane,7810
2021,2,Shizuoka,136413
2021,2,Tochigi,110788
2021,2,Tokushima,11853
2021,2,Tokyo,3000290
2021,2,Tottori,5790
2021,2,Toyama,24918
2021,2,Wakayama,31742
2021,2,Yamagata,14858
2021,2,Yamaguchi,37458
2021,2,Yamanashi,25838
2021,3,Aichi,821527
2021,3,Akita,8486
2021,3,Aomori,27134
2021,3,Chiba,871646
2021,3,Ehime,34774
2021,3,Fukui,17147
2021,3,Fukuoka,574338
2021,3,Fukushima,69185
2021,3,Gifu,149441
2021,3,Gunma,146994
2021,3,Hiroshima,157202
2021,3,Hokkaido,621232
2021,3,Hyogo,580355
2021,3,Ibaraki,193949
2021,3,Ishikawa,58480
2021,3,Iwate,17838
2021,3,Kagawa,23978
2021,3,Kagoshima,55011
2021,3,Kanagawa,1443018
2021,3,Kochi,28120
2021,3,Kumamoto,107742
